"labelDict","labelData","question"
"1","ACE_Score","ACE_Score","Total ACE Score"
"2","APQ_P_OPD","APQ_P_OPD","Other Discipline Practices Score (Not factored into total score but provides item level information)"
"3","APQ_P_Total","APQ_P_Total","APQ Total Score"
"4","APQ_SR_OPD","APQ_SR_OPD","APQ Total Score"
"5","APQ_SR_Total","APQ_SR_Total","Other Discipline Practices Score (Not factored into total score but provides item level information)"
"6","ARI_P_Total_Score","ARI_P_Total_Score","Total Score"
"7","ARI_S_Total_Score","ARI_S_Total_Score","Total Score"
"8","ASR_Total","ASR_Total","ASR Total Score"
"9","ASSQ_Total","ASSQ_Total","ASSQ Score"
"10","AUDIT_Total_Score","AUDIT_Total_Score","Total Score"
"11","Barratt_Total","Barratt_Total","Barratt Total Score"
"12","Barratt_Total_Edu","Barratt_Total_Edu","Education total score"
"13","Barratt_Total_Occ","Barratt_Total_Occ","Occupation total score"
"14","C3SR_AG","C3SR_AG","Defiance/Aggression Raw Score"
"15","C3SR_FR","C3SR_FR","Family Relations Raw Score"
"16","C3SR_HY","C3SR_HY","Hyperactivity/Impulsivity Raw Score"
"17","C3SR_IN","C3SR_IN","Inattention Raw Score"
"18","C3SR_NI","C3SR_NI","Negative Impression Raw Score"
"19","C3SR_PI","C3SR_PI","Positive Impression Raw Score"
"20","CAARS_ADHD_Raw","CAARS_ADHD_Raw","ADHD Index Raw Score"
"21","CAARS_HR_Raw","CAARS_HR_Raw","Hyperactivity/Restlessness Raw Score"
"22","CAARS_IE_Raw","CAARS_IE_Raw","Impulsivity/Emotional Lability Raw Score"
"23","CBCL_AB","CBCL_AB","Aggressive Behavior Raw Score"
"24","CBCL_AD","CBCL_AD","Anxious/Depressed Raw Score"
"25","CBCL_C","CBCL_C","C Score Raw Score"
"26","CBCL_Ext","CBCL_Ext","Externalizing Raw Score"
"27","CBCL_Int","CBCL_Int","Internalizing Raw Score"
"28","CBCL_Pre_AB","CBCL_Pre_AB","Aggressive Behavior Raw Score"
"29","CBCL_Pre_AD","CBCL_Pre_AD","Anxious/Depressed Raw Score"
"30","CBCL_Pre_Ext","CBCL_Pre_Ext","Externalizing Raw Score"
"31","CBCL_Pre_Int","CBCL_Pre_Int","Internalizing Raw Score"
"32","CBCL_Pre_SC","CBCL_Pre_SC","Somatic Complaints Raw Score"
"33","CBCL_Pre_Total","CBCL_Pre_Total","Total Raw Score"
"34","CBCL_Pre_WD","CBCL_Pre_WD","Withdrawn Raw Score"
"35","CBCL_RBB","CBCL_RBB","Rule Breaking Behavior Raw Score"
"36","CBCL_SC","CBCL_SC","Somatic Complaints Raw Score"
"37","CBCL_Total","CBCL_Total","Total Raw Score"
"38","CBCL_WD","CBCL_WD","Withdrawn/Depressed Raw Score"
"39","CDI2_Total","CDI2_Total","CDI Total"
"40","CDI2P_Total","CDI2P_Total","Children's Depression Index 2_ Total Score"
"41","CELF_FD_R","CELF_FD_R","Following Directions Raw Score"
"42","CELF_FS_R","CELF_FS_R","Formulated Sentences Raw Score"
"43","CELF_LC_R","CELF_LC_R","Linguistic Concepts Raw Score"
"44","CELF_RS_R","CELF_RS_R","Recalling Sentences Raw Score"
"45","CELF_SA_R","CELF_SA_R","Sentence Assembly Raw Score"
"46","CELF_SC_R","CELF_SC_R","Sentence Comprehension Raw Score"
"47","CELF_SR_R","CELF_SR_R","Semantic Relationships Raw Score"
"48","CELF_Total","CELF_Total","CELF-5 Total Score"
"49","CELF_USP_R","CELF_USP_R","Understanding Spoken Paragraphs Raw Score"
"50","CELF_WC_R","CELF_WC_R","Word Classes Raw Score"
"51","CELF_WD_R","CELF_WD_R","Word Definitions Raw Score"
"52","CELF_WS_R","CELF_WS_R","Word Structure Raw Score"
"53","CIS_P_Total","CIS_P_Score","CIS_P Total Score"
"54","CIS_SR_Total","CIS_SR_Total","CIS_SR Total Score"
"55","CLEF5M_CS_Raw","CLEF5M_CS_Raw","Conversation skills raw score"
"56","CLEF5M_FL_Raw","CLEF5M_FL_Raw","Figurative language raw score"
"57","CLEF5M_MI_Raw","CLEF5M_MI_Raw","Metalinguistics inferences raw score"
"58","CLEF5M_MM_Raw","CLEF5M_MM_Raw","Multiple meanings raw score"
"59","CLEF5M_TMI_Stnd","CLEF5M_TMI_Stnd","Total metalinguistics standard score"
"60","CPIC_Content_Total","CPIC.Content.Total","Content Total"
"61","CPIC_Frequency_Total","CPIC.Frequency.Total","Frequency Total"
"62","CPIC_Intensity_Total","CPIC.Intensity.Total","Intensity Total"
"63","CPIC_Perceived_Threat_Total","CPIC.Perceived.Threat.Total","Perceived Threat Total"
"64","CPIC_Resolution_Total","CPIC.Resolution.Total","Resolution Total"
"65","CPIC_Self_Blame_Total","CPIC.Self.Blame.Total","Self-Blame Total"
"66","CPIC_Stability_Total","CPIC.Stability.Total","Stability Total"
"67","CPIC_Triangulation_Total","CPIC.Triangulation.Total","Triangulation Total"
"68","CTOPP_BW_R","CTOPP_BW_R","Blending Words raw score"
"69","CTOPP_EL_R","CTOPP_EL_R","Elision raw score"
"70","CTOPP_NR_R","CTOPP_NR_R","Nonword Repetition raw score"
